rho,tau,cumulative_innovations_mean,cumulative_innovations_ci_lo,cumulative_innovations_ci_hi,innov_rate_late_mean,innov_rate_late_ci_lo,innov_rate_late_ci_hi,avg_growth_pct_mean,avg_growth_pct_ci_lo,avg_growth_pct_ci_hi,final_gini_wealth_mean,final_gini_wealth_ci_lo,final_gini_wealth_ci_hi,final_gini_income_mean,final_gini_income_ci_lo,final_gini_income_ci_hi,median_income_final_mean,median_income_final_ci_lo,median_income_final_ci_hi,lost_einstein_share_mean,lost_einstein_share_ci_lo,lost_einstein_share_ci_hi,poverty_gated_share_mean,poverty_gated_share_ci_lo,poverty_gated_share_ci_hi,eligible_share_mean,eligible_share_ci_lo,eligible_share_ci_hi,attempt_share_self_mean,attempt_share_self_ci_lo,attempt_share_self_ci_hi,attempt_share_credit_mean,attempt_share_credit_ci_lo,attempt_share_credit_ci_hi,attempt_share_public_mean,attempt_share_public_ci_lo,attempt_share_public_ci_hi,blocked_finance_mean,blocked_finance_ci_lo,blocked_finance_ci_hi,blocked_incentive_mean,blocked_incentive_ci_lo,blocked_incentive_ci_hi,mobility_rank_corr_mean,mobility_rank_corr_ci_lo,mobility_rank_corr_ci_hi,clamp_events_total_mean,clamp_events_total_ci_lo,clamp_events_total_ci_hi,markup_capped_share_mean,markup_capped_share_ci_lo,markup_capped_share_ci_hi,p_capped_share_mean,p_capped_share_ci_lo,p_capped_share_ci_hi,final_h_median_mean,final_h_median_ci_lo,final_h_median_ci_hi,n_replicates
0.5,0.3,17.433333333333334,2.761315624005304,32.10535104266136,0.08700000000000001,0.013326208530948513,0.1606737914690515,0.06239452626983935,0.053796973393216645,0.07099207914646205,0.7467937646696258,0.7322080416896618,0.7613794876495897,0.3077015619360477,0.3042848157654722,0.31111830810662316,1.6717287924521635,1.6605756667628437,1.6828819181414834,0.99804,0.9963613037395906,0.9997186962604094,0.012689333333333332,0.011690194645700376,0.013688472020966288,0.6951396666666666,0.6922921265044167,0.6979872068289165,0.0,0.0,0.0,0.0,0.0,0.0,0.00019600000000000002,2.8130373959055823e-05,0.0003638696260409442,0.0023210000000000006,0.0022133409992124457,0.0024286590007875555,0.6926226666666666,0.6897276355072094,0.6955176978261238,0.2173815513815514,0.2073573798360205,0.2274057229270823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0297379500887245,1.0272947102452725,1.0321811899321764,30
0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.06112194947408171,0.05285090857288937,0.06939299037527405,0.7137621218634964,0.6983830292516215,0.7291412144753713,0.23793965582095822,0.23559452696594868,0.24028478467596776,1.9372992839089205,1.9252358280051436,1.9493627398126974,1.0,1.0,1.0,0.00013300000000000003,3.1085415705336736e-05,0.00023491458429466335,0.9999696666666668,0.9999444771524584,0.9999948561808751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152666666666667,0.007958375182897734,0.008346958150435601,0.991817,0.9916170032624174,0.9920169967375825,0.16952381672381672,0.16001842982927247,0.17902920361836097,0.0,0.0,0.0,0.0,0.0,0.0,0.00010000000000000003,-9.188858848106478e-06,0.00020918885884810653,1.273530900285928,1.2715574120329638,1.2755043885388924,30
0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0659707334698368,0.05870046970193748,0.07324099723773611,0.7130482623006128,0.6944722272694048,0.7316242973318208,0.18559825729791618,0.18375965591387164,0.18743685868196072,2.1590348283509537,2.1450152675435055,2.173054389158402,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005233333333333334,0.005051705694205862,0.005414960972460805,0.9947666666666667,0.9945850390275393,0.9949482943057941,0.12654151734151736,0.11622126388702643,0.13686177079600828,0.0,0.0,0.0,0.0,0.0,0.0,0.00010000000000000003,-9.188858848106478e-06,0.00020918885884810653,1.5106053773456705,1.5086431819820763,1.5125675727092647,30
0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0741356642314295,0.06665209824485858,0.08161923021800042,0.6754643255363734,0.6640474148024748,0.686881236270272,0.14041653832633957,0.13895010328405777,0.14188297336862138,2.363452609768756,2.3496732048865208,2.3772320146509913,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034956666666666673,0.0033918099064526802,0.0035995234268806544,0.9965043333333331,0.9964004765731191,0.9966081900935471,0.08712653112653114,0.0729580919391604,0.10129497031390187,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333334e-05,-3.2e-05,9.866666666666669e-05,1.7415636027841321,1.7401657813485218,1.7429614242197424,30
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19073672876124584,0.16235665468483274,0.21911680283765894,0.8920619759302927,0.8840713514258725,0.9000526004347129,0.8209356647176596,0.8140938394230145,0.8277774900123046,0.3033090402082076,0.29584264493507884,0.31077543548133635,1.0,1.0,1.0,0.36519133333333337,0.362919430471177,0.36746323619548976,0.13514600000000002,0.13256102044291151,0.13773097955708852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13514600000000002,0.13256102044291151,0.13773097955708852,0.6617212977212977,0.6537928118291487,0.6696497836134467,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333334e-05,-3.2e-05,9.866666666666669e-05,0.14093115582551657,0.13732192188021447,0.14454038977081868,30
1.0,0.1,961.5333333333333,946.6952102394177,976.3714564272489,4.824999999999999,4.730913664006457,4.9190863359935415,0.14778997113954165,0.1317759679551213,0.163803974323962,0.8096786765607885,0.8001191112593594,0.8192382418622176,0.5630065800844322,0.5562970785893293,0.569716081579535,0.9669947209897256,0.957695403607096,0.9762940383723552,0.7790333333333334,0.7789013218627996,0.7791653448038671,0.18754966666666667,0.18364880995065025,0.1914505233826831,0.18108866666666668,0.17748682552777853,0.18469050780555482,0.0,0.0,0.0,0.0,0.0,0.0,0.022096666666666653,0.022083465519613276,0.02210986781372003,1.3000000000000001e-05,3.7374013725448907e-06,2.2262598627455113e-05,0.119877,0.11595399636373223,0.12380000363626777,0.40201885321885317,0.3937742404258155,0.41026346601189084,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666668e-05,-2.4121622280541096e-05,0.00015745495561387445,0.4792065404357846,0.4750173615432998,0.48339571932826936,30
1.0,0.2,1639.8333333333333,1580.5417771332438,1699.1248895334227,9.086999999999998,8.767739834466383,9.406260165533613,0.12646977641330784,0.11438739810655729,0.13855215472005838,0.7547049011385528,0.7447315906753864,0.7646782116017192,0.40817004313398614,0.4025504690151701,0.41378961725280217,1.4489256821635321,1.4370411986581948,1.4608101656688695,0.6158099999999999,0.6019028291469933,0.6297171708530064,0.083638,0.08069272528774821,0.0865832747122518,0.30299133333333333,0.2990933907887566,0.3068892758779101,0.0,0.0,0.0,0.0,0.0,0.0,0.038418999999999995,0.03702828291469935,0.03980971708530064,0.0005340000000000001,0.0004403424234459539,0.0006276575765540463,0.26371300000000003,0.25944421612058444,0.2679817838794156,0.2743592011592011,0.26374958298772394,0.28496881933067825,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666668e-05,-2.4121622280541096e-05,0.00015745495561387445,0.7696928532164689,0.7666658485024741,0.7727198579304636,30
1.0,0.3,1064.0,999.167258023558,1128.832741976442,5.569000000000001,5.225967045261274,5.912032954738728,0.0969952800091136,0.08840356239441689,0.10558699762381031,0.7320036026541756,0.7197941684128473,0.744213036895504,0.3008526532775221,0.29789464504956664,0.30381066150547753,1.7499751451606236,1.7402034907262869,1.7597467995949603,0.7866833333333332,0.7738472825322269,0.7995193841344395,0.016702666666666664,0.015304169678403059,0.01810116365493027,0.6973603333333332,0.6938777542181104,0.7008429124485561,0.0,0.0,0.0,0.0,0.0,0.0,0.02133166666666667,0.020048061586556035,0.022615271746777302,0.0030106666666666667,0.002804116682015525,0.0032172166513178085,0.673018,0.6688178740928604,0.6772181259071396,0.22036572956572964,0.20869461813444676,0.23203684099701252,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333334e-05,-3.2e-05,9.866666666666669e-05,1.0306910075299645,1.0281558191238322,1.0332261959360967,30
1.0,0.4,524.7,471.8415183452024,577.5584816547977,2.6983333333333333,2.4191441874893584,2.977522479177308,0.08085740199185068,0.0724471627257192,0.08926764125798216,0.7127442909587318,0.7002606784010008,0.7252279035164628,0.23704935340718744,0.2349300398409697,0.2391686669734052,1.9820029273900777,1.9637611776385355,2.00024467714162,0.90933,0.8998102585775481,0.9188497414224518,0.00016400000000000003,3.1054374817475076e-05,0.00029694562518252495,0.9999283333333333,0.9998521610661784,1.0000045056004883,0.0,0.0,0.0,0.0,0.0,0.0,0.009066999999999999,0.008115025857754818,0.010018974142245179,0.008816000000000001,0.00846829880149893,0.009163701198501071,0.9820453333333333,0.9808978594807803,0.9831928071858863,0.16892230572230574,0.15855810820623095,0.17928650323838052,0.0,0.0,0.0,0.0,0.0,0.0,0.00010000000000000003,-9.188858848106478e-06,0.00020918885884810653,1.2724226837543462,1.2703465320631484,1.274498835445544,30
1.0,0.5,217.13333333333333,180.62756990949725,253.6390967571694,1.1243333333333334,0.9312872951739293,1.3173793714927375,0.06653830064611331,0.05767988650898212,0.0753967147832445,0.6974770333590767,0.6746600301872703,0.7202940365308832,0.1834450260914583,0.1814072662564236,0.185482785926493,2.174343570977087,2.1590163431870524,2.1896707987671213,0.9665000000000001,0.9610406864681464,0.9719593135318538,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.0028040686468146342,0.003895931353185366,0.005433333333333335,0.005258723859499609,0.005607942807167061,0.9912166666666666,0.9906130401138253,0.9918202932195079,0.12171841971841975,0.11023211759117679,0.1332047218456627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5102414738176833,1.5088325959260944,1.511650351709272,30
