mode,tau,cumulative_innovations_mean,cumulative_innovations_ci_lo,cumulative_innovations_ci_hi,innov_rate_late_mean,innov_rate_late_ci_lo,innov_rate_late_ci_hi,avg_growth_pct_mean,avg_growth_pct_ci_lo,avg_growth_pct_ci_hi,final_gini_wealth_mean,final_gini_wealth_ci_lo,final_gini_wealth_ci_hi,final_gini_income_mean,final_gini_income_ci_lo,final_gini_income_ci_hi,median_income_final_mean,median_income_final_ci_lo,median_income_final_ci_hi,lost_einstein_share_mean,lost_einstein_share_ci_lo,lost_einstein_share_ci_hi,poverty_gated_share_mean,poverty_gated_share_ci_lo,poverty_gated_share_ci_hi,eligible_share_mean,eligible_share_ci_lo,eligible_share_ci_hi,attempt_share_self_mean,attempt_share_self_ci_lo,attempt_share_self_ci_hi,attempt_share_credit_mean,attempt_share_credit_ci_lo,attempt_share_credit_ci_hi,attempt_share_public_mean,attempt_share_public_ci_lo,attempt_share_public_ci_hi,blocked_finance_mean,blocked_finance_ci_lo,blocked_finance_ci_hi,blocked_incentive_mean,blocked_incentive_ci_lo,blocked_incentive_ci_hi,mobility_rank_corr_mean,mobility_rank_corr_ci_lo,mobility_rank_corr_ci_hi,clamp_events_total_mean,clamp_events_total_ci_lo,clamp_events_total_ci_hi,markup_capped_share_mean,markup_capped_share_ci_lo,markup_capped_share_ci_hi,p_capped_share_mean,p_capped_share_ci_lo,p_capped_share_ci_hi,final_h_median_mean,final_h_median_ci_lo,final_h_median_ci_hi,n_replicates
no_credit,0.3,2601.133333333333,2572.4418022999057,2629.8248643667607,13.023333333333333,12.86517528715521,13.181491379511456,0.1459868779783817,0.13638840757622314,0.15558534838054025,0.7337716700618263,0.7206814688848717,0.7468618712387809,0.3122805598318765,0.308458980172374,0.31610213949137905,1.8115168363271796,1.7994032120143781,1.8236304606399811,0.5154233333333333,0.5079891795390789,0.5228574871275878,0.021925000000000004,0.020267373438974844,0.023582626561025163,0.691846,0.6884210074031606,0.6952709925968393,0.0001666666666666667,3.102571623889139e-05,0.000302307617094442,0.0,0.0,0.0,0.06798466666666667,0.06797704755619073,0.0679922857771426,0.006257,0.005937381816781839,0.006576618183218162,0.5689283333333335,0.5638084812191947,0.5740481854474723,0.19739428779428783,0.1867840591057717,0.20800451648280396,0.0,0.0,0.0,0.0,0.0,0.0,0.0001666666666666667,3.102571623889139e-05,0.000302307617094442,1.0215830282360363,1.0191233749877557,1.0240426814843169,30
no_credit,0.4,2246.5,2161.239378519903,2331.760621480097,10.941333333333334,10.53316153595167,11.349505130714999,0.12176023173012784,0.11256372418294755,0.13095673927730814,0.7161661245576412,0.699813041101195,0.7325192080140873,0.2301111081902824,0.22708734954563928,0.23313486683492554,2.056109010409693,2.043035534150474,2.069182486668912,0.48911333333333334,0.47217475369090656,0.5060519129757601,0.0006336666666666667,0.0004665751168598071,0.0008007582164735263,0.9997926666666667,0.9996396811838505,0.9999456521494828,0.0,0.0,0.0,0.0,0.0,0.0,0.05108866666666667,0.04939480870242399,0.05278252463090935,0.01944766666666666,0.018733925264078456,0.020161408069254868,0.9292563333333335,0.9270513798464848,0.9314612868201821,0.20994397474397475,0.20135810769022403,0.21852984179772547,0.0,0.0,0.0,0.0,0.0,0.0,0.0001666666666666667,3.102571623889139e-05,0.000302307617094442,1.2737340634075238,1.2716592213985964,1.2758089054164512,30
no_credit,0.5,1190.3333333333333,1133.174990031221,1247.4916766354456,5.716333333333334,5.434699626832233,5.9979670398344345,0.09718306988430386,0.08979925224724228,0.10456688752136545,0.6984408560933418,0.6863371440881668,0.7105445680985168,0.17866635069281933,0.1770476598798228,0.18028504150581587,2.225629732758297,2.2103770817416675,2.240882383774926,0.7642133333333331,0.752440511209755,0.7759861554569112,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023578666666666668,0.022401384454308858,0.024755948879024478,0.01025233333333333,0.009860311161929683,0.010644355504736977,0.966169,0.9648480613664866,0.9674899386335133,0.14177080497080494,0.12972901273459095,0.15381259720701893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5100542713108738,1.5089956958590878,1.5111128467626598,30
no_credit,0.6,416.26666666666665,378.81762546864206,453.71570786469124,1.994,1.8082110696045879,2.179788930395412,0.0882925383689071,0.08100783735044331,0.0955772393873709,0.6782676194584986,0.6670688342606188,0.6894664046563783,0.13871029110193037,0.13744500176517918,0.13997558043868155,2.4068340641715293,2.3872403675611387,2.42642776078192,0.9322033333333332,0.9259221913345735,0.9384844753320928,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067796666666666665,0.006151552466790702,0.007407780866542631,0.004498666666666667,0.00422203775752451,0.004775295575808825,0.9887216666666666,0.9879690809468408,0.9894742523864924,0.08913470113470114,0.07930767030807627,0.098961731961326,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333334e-05,-3.2e-05,9.866666666666669e-05,1.7419110148691213,1.740579398057847,1.7432426316803955,30
no_public_rd,0.0,109.76666666666667,76.67436425605689,142.85896907727644,0.6183333333333334,0.43398196159844127,0.8026847050682255,0.1789626254263978,0.15546038169658674,0.20246486915620884,0.8932732056042657,0.8860597177892136,0.9004866934193179,0.8158913357542587,0.810543286950219,0.8212393845582983,0.30766509275745363,0.3009120904672928,0.3144180950476145,0.9840033333333332,0.9793022960128005,0.988704370653866,0.36131899999999995,0.35903288876308886,0.363605111236911,0.1367523333333333,0.13325874740126994,0.14024591926539667,0.0015453333333333335,0.0010989206207333434,0.0019917460459333235,5.433333333333333e-05,8.362948647955138e-07,0.00010783037180187114,0.0,0.0,0.0,1.6666666666666667e-06,-1.6000000000000008e-06,4.933333333333334e-06,0.13515100000000002,0.1315313009349268,0.13877069906507325,0.6529688405688406,0.6450224745178492,0.660915206619832,93.16666666666667,59.009689757536066,127.32364357579728,0.0,0.0,0.0,6.666666666666668e-05,-2.4121622280541096e-05,0.00015745495561387445,0.1433005730449138,0.14012707042016476,0.14647407566966286,30
no_public_rd,0.1,67.06666666666666,42.01097866246321,92.12235467087012,0.3383333333333333,0.20950184709358174,0.46716481957308487,0.1091156567171273,0.09339463177434751,0.12483668165990708,0.8096787141091226,0.7977422696152953,0.82161515860295,0.5601797877032226,0.5536441077639647,0.5667154676424806,0.9390337272060929,0.9298600961173422,0.9482073582948436,0.9913,0.9879217265866759,0.994678273413324,0.17366833333333334,0.1693901641114828,0.17794650255518388,0.17996633333333337,0.17741553636913854,0.1825171302975282,0.0008203333333333337,0.0004925073898979916,0.0011481592767686758,4.9666666666666684e-05,-1.6533788193966928e-05,0.00011586712152730029,0.0,0.0,0.0,5.666666666666667e-06,1.4973895074157564e-06,9.835943825917577e-06,0.17909066666666665,0.17645708830786858,0.18172424502546472,0.40143121663121667,0.3932569197814328,0.40960551348100055,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333334e-05,-3.2e-05,9.866666666666669e-05,0.4794386850331579,0.47622720011848657,0.4826501699478292,30
no_public_rd,0.2,24.633333333333333,4.626301421635166,44.640365245031504,0.13366666666666666,0.024350562361141748,0.24298277097219156,0.07450600664754177,0.0628764583855409,0.08613555490954264,0.7617841752655736,0.7485628595108788,0.7750054910202685,0.40680075535389487,0.4013650870318998,0.4122364236758899,1.3484184945406499,1.338533602604777,1.3583033864765228,0.9970199999999999,0.9945248423363569,0.999515157663643,0.06906533333333334,0.06602663302715005,0.07210403363951663,0.3060163333333333,0.3028700526540954,0.30916261401257117,0.00021433333333333338,4.096653866745648e-05,0.0003877001279992103,8.366666666666666e-05,-3.2765363501333704e-05,0.00020009869683466702,0.0,0.0,0.0,0.00011533333333333335,8.275600261658565e-05,0.00014791066405008105,0.30560299999999996,0.302448870426548,0.3087571295734519,0.28663019783019794,0.27685398821676344,0.29640640744363245,0.0,0.0,0.0,0.0,0.0,0.0,0.00010000000000000003,-9.188858848106478e-06,0.00020918885884810653,0.769566764151054,0.7667717557831065,0.7723617725190014,30
no_public_rd,0.3,12.233333333333333,-2.776088955880157,27.242755622546824,0.06633333333333334,-0.01479301905194895,0.14745968571861562,0.06243039205796501,0.05455704365543601,0.07030374046049401,0.7362183591041814,0.721481642688333,0.7509550755200298,0.30518489140558824,0.3030400303514497,0.30732975245972677,1.6549804667966275,1.6436024631869723,1.6663584704062826,0.9985233333333333,0.996712087871866,1.0003345787948006,0.011805333333333334,0.010691459996761844,0.012919206669904825,0.6971896666666667,0.6942745392974664,0.700104794035867,3.333333333333334e-05,-3.2e-05,9.866666666666669e-05,0.00011433333333333333,-5.7560135609305955e-05,0.0002862268022759726,0.0,0.0,0.0,0.002288,0.002185088360811521,0.0023909116391884794,0.694754,0.6919070201365585,0.6976009798634415,0.21544886544886543,0.20477207003999856,0.2261256608577323,0.0,0.0,0.0,0.0,0.0,0.0,0.00010000000000000003,-9.188858848106478e-06,0.00020918885884810653,1.0291145896936222,1.0269289437018987,1.0313002356853458,30
no_public_rd,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.06309009070433093,0.055049091872649565,0.07113108953601228,0.7107497611566862,0.697183885688555,0.7243156366248173,0.23855505311583788,0.23580238893925243,0.24130771729242334,1.929370134278312,1.9143774792043784,1.9443627893522457,1.0,1.0,1.0,0.000221,9.964016858754388e-05,0.0003423598314124561,0.9999273333333334,0.9998533737073586,1.0000012929593083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008380666666666668,0.008135379938509678,0.008625953394823659,0.9915466666666667,0.9912766737040792,0.9918166596292541,0.1690981670981671,0.15835157974835246,0.17984475444798176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2747492418664779,1.2731218147939996,1.2763766689389562,30
no_public_rd,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06170907962454966,0.05243983611420504,0.07097832313489429,0.6970150021919193,0.6831258732378341,0.7109041311460044,0.18602716863480714,0.1837910460611599,0.1882632912084544,2.148140399542683,2.129213832543852,2.167066966541514,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005239666666666668,0.005075847031075069,0.005403486302258266,0.9947603333333334,0.9945965136977418,0.9949241529689249,0.12632959912959912,0.11404083713910784,0.1386183611200904,0.0,0.0,0.0,0.0,0.0,0.0,0.0001666666666666667,3.102571623889139e-05,0.000302307617094442,1.5098345782064473,1.5084661539132471,1.5112030024996475,30
